,p_val_binom,p_corr_binom,num_genes,num_sig_genes
path:mmu04260,1.0,1.0,71,0
path:mmu04261,1.0,1.0,143,0
path:mmu04270,1.0,1.0,134,0
path:mmu04310,0.6310292705313096,1.0,155,0
path:mmu04330,1.0,1.0,49,0
path:mmu04340,1.0,1.0,42,0
path:mmu04350,1.0,1.0,90,1
path:mmu04360,0.6361590023352152,1.0,178,1
path:mmu04370,1.0,1.0,56,0
path:mmu04371,1.0,1.0,133,0
path:mmu04380,1.0,1.0,111,2
path:mmu04390,1.0,1.0,147,0
path:mmu04392,1.0,1.0,23,0
path:mmu04510,0.6403496139911595,1.0,188,0
path:mmu04512,1.0,1.0,78,1
path:mmu04514,1.0,1.0,148,0
path:mmu04520,1.0,1.0,65,0
path:mmu04530,0.631404727333987,1.0,159,0
path:mmu04540,1.0,1.0,78,0
path:mmu04550,1.0,1.0,135,0
path:mmu04610,1.0,1.0,83,1
path:mmu04611,1.0,1.0,118,0
path:mmu04612,1.0,1.0,75,1
path:mmu04614,1.0,1.0,33,1
path:mmu04620,1.0,1.0,94,1
path:mmu04621,0.6326141209211167,1.0,166,1
path:mmu04622,1.0,1.0,65,1
path:mmu04623,1.0,1.0,58,0
path:mmu04625,1.0,1.0,111,1
path:mmu04630,0.6309732635170213,1.0,154,1
path:mmu04640,1.0,1.0,88,2
path:mmu04650,1.0,1.0,104,1
path:mmu04657,1.0,1.0,88,2
path:mmu04658,1.0,1.0,85,0
path:mmu04659,1.0,1.0,100,0
path:mmu04660,1.0,1.0,100,1
path:mmu04662,1.0,1.0,68,0
path:mmu04664,1.0,1.0,65,1
path:mmu04666,1.0,1.0,80,0
path:mmu04668,1.0,1.0,107,2
path:mmu04670,1.0,1.0,107,0
path:mmu04672,1.0,1.0,39,1
path:mmu04710,1.0,1.0,30,1
path:mmu04713,1.0,1.0,94,1
path:mmu04714,0.6466297879641448,1.0,200,1
path:mmu04720,1.0,1.0,64,0
path:mmu04721,1.0,1.0,77,1
path:mmu04722,1.0,1.0,119,0
path:mmu04723,1.0,1.0,137,1
path:mmu04724,1.0,1.0,109,1
path:mmu04725,1.0,1.0,109,0
path:mmu04726,1.0,1.0,126,2
path:mmu04727,1.0,1.0,87,1
path:mmu04728,1.0,1.0,125,0
path:mmu04730,1.0,1.0,55,0
path:mmu04740,0.0017596369473143255,0.28682082241223505,1035,5
path:mmu04742,1.0,1.0,85,0
path:mmu04744,1.0,1.0,27,0
path:mmu04750,1.0,1.0,116,2
path:mmu04810,0.6514636198584347,1.0,208,0
path:mmu04910,1.0,1.0,136,0
path:mmu04911,1.0,1.0,85,0
path:mmu04912,1.0,1.0,89,0
path:mmu04913,1.0,1.0,55,0
path:mmu04914,1.0,1.0,86,0
path:mmu04915,1.0,1.0,131,1
path:mmu04916,1.0,1.0,97,0
path:mmu04917,1.0,1.0,71,0
path:mmu04918,1.0,1.0,72,1
path:mmu04919,1.0,1.0,113,2
path:mmu04920,1.0,1.0,71,2
path:mmu04921,1.0,1.0,148,0
path:mmu04922,1.0,1.0,97,0
path:mmu04923,1.0,1.0,56,1
path:mmu04924,1.0,1.0,67,0
path:mmu04925,1.0,1.0,100,0
path:mmu04926,1.0,1.0,126,0
path:mmu04927,1.0,1.0,68,0
path:mmu04928,1.0,1.0,105,0
path:mmu04930,1.0,1.0,47,1
path:mmu04931,1.0,1.0,106,2
path:mmu04932,1.0,1.0,142,1
path:mmu04933,1.0,1.0,98,1
path:mmu04934,0.6310292705313096,1.0,155,0
path:mmu04940,1.0,1.0,56,1
path:mmu04950,1.0,1.0,27,0
path:mmu04960,1.0,1.0,37,0
path:mmu04961,1.0,1.0,53,0
path:mmu04962,1.0,1.0,43,0
path:mmu04964,1.0,1.0,22,0
path:mmu04966,1.0,1.0,27,1
path:mmu04970,1.0,1.0,75,0
path:mmu04971,1.0,1.0,73,0
path:mmu04972,1.0,1.0,96,0
path:mmu04973,1.0,1.0,38,0
path:mmu04974,1.0,1.0,85,0
path:mmu04975,1.0,1.0,37,1
path:mmu04976,1.0,1.0,68,0
path:mmu04977,1.0,1.0,22,1
path:mmu04978,1.0,1.0,44,0
path:mmu04979,1.0,1.0,47,1
path:mmu05010,0.6320128436195332,1.0,163,1
path:mmu05012,1.0,1.0,120,0
path:mmu05014,1.0,1.0,52,1
path:mmu05016,0.6320128436195332,1.0,163,1
path:mmu05020,1.0,1.0,34,0
path:mmu05030,1.0,1.0,47,0
path:mmu05031,1.0,1.0,65,0
path:mmu05032,1.0,1.0,86,1
path:mmu05033,1.0,1.0,40,1
path:mmu05034,1.0,1.0,145,2
path:mmu05100,1.0,1.0,72,0
path:mmu05132,1.0,1.0,76,0
path:mmu05133,1.0,1.0,73,1
path:mmu05134,1.0,1.0,53,1
path:mmu05140,1.0,1.0,62,1
path:mmu05142,1.0,1.0,102,1
path:mmu05143,1.0,1.0,33,1
path:mmu05144,1.0,1.0,43,2
path:mmu05145,1.0,1.0,101,1
path:mmu05146,1.0,1.0,101,1
path:mmu05150,1.0,1.0,62,0
path:mmu05152,0.634470687411461,1.0,173,2
path:mmu05160,0.6309328106067827,1.0,153,1
path:mmu05161,0.6311871203200227,1.0,157,1
path:mmu05162,1.0,1.0,130,0
path:mmu05163,0.4149504685846266,1.0,236,2
path:mmu05164,0.631680491275488,1.0,161,1
path:mmu05165,0.181834603568379,1.0,335,2
path:mmu05166,0.41334850073175433,1.0,230,2
path:mmu05167,0.6454978106155802,1.0,198,1
path:mmu05168,0.29000143039672616,1.0,333,2
path:mmu05169,0.6521002052768387,1.0,209,1
path:mmu05170,0.654050217182583,1.0,212,2
path:mmu05200,0.055829477568689286,1.0,523,5
path:mmu05202,0.6328411949332973,1.0,167,2
path:mmu05203,0.6477933749283014,1.0,202,2
path:mmu05204,1.0,1.0,79,9
path:mmu05205,0.6438614158358457,1.0,195,3
path:mmu05206,1.0,1.0,140,1
path:mmu05210,1.0,1.0,86,0
path:mmu05211,1.0,1.0,64,0
path:mmu05212,1.0,1.0,75,0
path:mmu05213,1.0,1.0,56,0
path:mmu05214,1.0,1.0,73,0
path:mmu05215,1.0,1.0,95,2
path:mmu05216,1.0,1.0,35,1
path:mmu05217,1.0,1.0,62,0
path:mmu05218,1.0,1.0,71,0
path:mmu05219,1.0,1.0,40,0
path:mmu05220,1.0,1.0,75,0
path:mmu05221,1.0,1.0,66,0
path:mmu05222,1.0,1.0,91,0
path:mmu05223,1.0,1.0,64,0
path:mmu05224,1.0,1.0,145,0
path:mmu05225,0.6330812854627546,1.0,168,2
path:mmu05226,1.0,1.0,148,0
path:mmu05230,1.0,1.0,60,0
path:mmu05231,1.0,1.0,93,0
path:mmu05310,1.0,1.0,22,1
path:mmu05320,1.0,1.0,62,0
path:mmu05321,1.0,1.0,56,1
path:mmu05322,1.0,1.0,86,2
path:mmu05323,1.0,1.0,80,3
path:mmu05330,1.0,1.0,49,1
path:mmu05332,1.0,1.0,50,1
path:mmu05340,1.0,1.0,35,0
path:mmu05410,1.0,1.0,84,1
path:mmu05412,1.0,1.0,70,0
path:mmu05414,1.0,1.0,88,1
path:mmu05416,1.0,1.0,72,0
path:mmu05418,1.0,1.0,142,4
